Unnamed: 0;genre;track_id;danceability;energy;key;loudness;mode;speechiness;acousticness;instrumentalness;liveness;valence;tempo;type;id;uri;track_href;analysis_url;duration_ms;time_signature
1121;grunge;2QOMGq8wVTZbLmh7McrvgF;0.437;0.717;0;-4.803;1;0.039;0.0779;0.00274;0.108;0.547;178.085;audio_features;2QOMGq8wVTZbLmh7McrvgF;spotify:track:2QOMGq8wVTZbLmh7McrvgF;https://api.spotify.com/v1/tracks/2QOMGq8wVTZbLmh7McrvgF;https://api.spotify.com/v1/audio-analysis/2QOMGq8wVTZbLmh7McrvgF;215907;4
1122;grunge;0melIwOKh1JH4RjI1Is10w;0.509;0.583;0;-4.902;1;0.0615;0.0329;0.000124;0.359;0.67;170.886;audio_features;0melIwOKh1JH4RjI1Is10w;spotify:track:0melIwOKh1JH4RjI1Is10w;https://api.spotify.com/v1/tracks/0melIwOKh1JH4RjI1Is10w;https://api.spotify.com/v1/audio-analysis/0melIwOKh1JH4RjI1Is10w;278653;4
1123;grunge;7AUwhTIuxBn7Os76FPoIz7;0.615;0.388;11;-11.997;1;0.0365;0.653;0.000119;0.908;0.429;115.048;audio_features;7AUwhTIuxBn7Os76FPoIz7;spotify:track:7AUwhTIuxBn7Os76FPoIz7;https://api.spotify.com/v1/tracks/7AUwhTIuxBn7Os76FPoIz7;https://api.spotify.com/v1/audio-analysis/7AUwhTIuxBn7Os76FPoIz7;196394;4
1124;grunge;77hVRfBvi1uNG1cghUS448;0.396;0.771;9;-8.637;1;0.0412;0.0102;0.00286;0.164;0.491;171.075;audio_features;77hVRfBvi1uNG1cghUS448;spotify:track:77hVRfBvi1uNG1cghUS448;https://api.spotify.com/v1/tracks/77hVRfBvi1uNG1cghUS448;https://api.spotify.com/v1/audio-analysis/77hVRfBvi1uNG1cghUS448;256853;3
1125;grunge;7LZwFnHW2oWzFqtsmfrWw7;0.605;0.448;2;-10.618;1;0.0337;0.391;0;0.0956;0.285;126.876;audio_features;7LZwFnHW2oWzFqtsmfrWw7;spotify:track:7LZwFnHW2oWzFqtsmfrWw7;https://api.spotify.com/v1/tracks/7LZwFnHW2oWzFqtsmfrWw7;https://api.spotify.com/v1/audio-analysis/7LZwFnHW2oWzFqtsmfrWw7;231760;3
1126;grunge;5fuilHPCSViseXRrKMEFns;0.251;0.734;3;-7.43;1;0.0397;0.00666;4.73E-05;0.116;0.129;149.831;audio_features;5fuilHPCSViseXRrKMEFns;spotify:track:5fuilHPCSViseXRrKMEFns;https://api.spotify.com/v1/tracks/5fuilHPCSViseXRrKMEFns;https://api.spotify.com/v1/audio-analysis/5fuilHPCSViseXRrKMEFns;344080;4
1127;grunge;4sRnUWDQmuU6WP8nzOrEop;0.314;0.916;9;-5.609;1;0.0486;4.71E-05;9.28E-06;0.109;0.273;119.14;audio_features;4sRnUWDQmuU6WP8nzOrEop;spotify:track:4sRnUWDQmuU6WP8nzOrEop;https://api.spotify.com/v1/tracks/4sRnUWDQmuU6WP8nzOrEop;https://api.spotify.com/v1/audio-analysis/4sRnUWDQmuU6WP8nzOrEop;223920;4
1128;grunge;4XJq0ehSP5HXTUun2m4njP;0.406;0.775;5;-8.791;0;0.0368;0.000471;0.00765;0.243;0.731;165.085;audio_features;4XJq0ehSP5HXTUun2m4njP;spotify:track:4XJq0ehSP5HXTUun2m4njP;https://api.spotify.com/v1/tracks/4XJq0ehSP5HXTUun2m4njP;https://api.spotify.com/v1/audio-analysis/4XJq0ehSP5HXTUun2m4njP;194467;4
1129;grunge;7EZV0uTFLmJbG2DKm6SG9H;0.295;0.807;2;-6.076;0;0.0365;0.000242;0.00115;0.228;0.482;126.885;audio_features;7EZV0uTFLmJbG2DKm6SG9H;spotify:track:7EZV0uTFLmJbG2DKm6SG9H;https://api.spotify.com/v1/tracks/7EZV0uTFLmJbG2DKm6SG9H;https://api.spotify.com/v1/audio-analysis/7EZV0uTFLmJbG2DKm6SG9H;258733;4
1130;grunge;2uDwRgwGPjXq0oj0hNCuFc;0.329;0.658;9;-5.57;1;0.0373;0.00108;1.56E-06;0.0805;0.288;141.123;audio_features;2uDwRgwGPjXq0oj0hNCuFc;spotify:track:2uDwRgwGPjXq0oj0hNCuFc;https://api.spotify.com/v1/tracks/2uDwRgwGPjXq0oj0hNCuFc;https://api.spotify.com/v1/audio-analysis/2uDwRgwGPjXq0oj0hNCuFc;343400;4
